Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9650,0.9643,0.9919,"{'C': 1, 'max_iter': 10000}"
Logistic Regression,2,0.9790,0.9809,0.9983,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9790,0.9809,0.9937,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9755,0.9728,0.9943,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9755,0.9775,0.9976,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9720,0.9718,0.9964,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9755,0.9740,0.9930,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9650,0.9655,0.9939,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9755,0.9756,0.9986,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9825,0.9827,0.9977,"{'C': 10, 'max_iter': 10000}"
